"county","Distance_From_Manhattan","Total_Case_On_Nov13_2020","population","Infection_Rate"
"Allegany","233","589","46091","1.2779"
"Cattaraugus","264","661","76117","0.8684"
"Cayuga","204","609","76576","0.7953"
"Chautauqua","300","1210","126903","0.9535"
"Chemung","172","2280","83456","2.7320"
"Clinton","275","356","80485","0.4423"
"Cortland","166","712","47581","1.4964"
"Erie","283","17021","918702","1.8527"
"Essex","230","232","36885","0.6290"
"Franklin","264","174","50022","0.3478"
"Fulton","163","382","53383","0.7156"
"Genesee","266","584","57280","1.0196"
"Hamilton","201","22","4416","0.4982"
"Herkimer","191","480","61319","0.7828"
"Jefferson","246","307","109834","0.2795"
"Lewis","221","219","26296","0.8328"
"Livingston","238","466","62914","0.7407"
"Madison","171","696","70941","0.9811"
"Monroe","265","10075","741770","1.3582"
"Niagara","309","2616","209281","1.2500"
"Oneida","186","3414","228671","1.4930"
"Onondaga","192","7421","460528","1.6114"
"Ontario","224","912","109777","0.8308"
"Orleans","288","498","40352","1.2341"
"Oswego","218","897","117124","0.7659"
"Saratoga","161","1642","229863","0.7143"
"Schuyler","191","210","17807","1.1793"
"Seneca","202","202","34016","0.5938"
"St. Lawrence","263","546","107740","0.5068"
"Steuben","204","1361","95379","1.4269"
"Tompkins","174","786","102180","0.7692"
"Warren","192","503","63944","0.7866"
"Washington","177","395","61204","0.6454"
"Wayne","244","735","89918","0.8174"
"Wyoming","257","332","39859","0.8329"
"Yates","207","190","24913","0.7627"
"Albany","125","4425","305506","1.4484"
"Broome","136","4303","190488","2.2589"
"Chenango","145","489","47207","1.0359"
"Columbia","103","870","59461","1.4631"
"Delaware","111","271","44135","0.6140"
"Dutchess","69","6074","294218","2.0645"
"Greene","105","578","47188","1.2249"
"Montgomery","149","307","49221","0.6237"
"Nassau","20","53271","1356924","3.9259"
"Orange","47","14925","384940","3.8772"
"Otsego","139","459","59493","0.7715"
"Putnam","47","2091","98320","2.1267"
"Rensselaer","136","1278","158714","0.8052"
"Rockland","26","19567","325789","6.0060"
"Schenectady","141","1828","155299","1.1771"
"Schoharie","128","141","30999","0.4549"
"Suffolk","68","52493","1476601","3.5550"
"Sullivan","77","1956","75432","2.5931"
"Tioga","155","930","48203","1.9293"
"Ulster","82","2738","177573","1.5419"
"Westchester","29","43655","967506","4.5121"
